issue,issue_title,start_date,end_date,rank,track_id,song_name,artist_name,qq_track_mid,new_flag,last_week_rank,on_chart_weeks,history_highest_rank,uni_index,play_heat,spread,preference,sales,recommendation,cover_url
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,135,511979926,古风2026,"一颗狼星,糯米Nomi,倪浩毅,指尖笑,草帽酱,执素兮,平生不晚,浅影阿",002BNkDq46SfPr,False,122,0,0,82.45015,71.9,0.0,0.0,1.85,19.37,https://y.gtimg.cn/music/photo_new/T002R500x500M000002KRyi405Zmjv_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,136,522662100,UP IT,刘耀文,003envMt4H3x7x,False,92,0,0,82.28316,61.94,0.0,0.0,24.33,50.82,https://y.gtimg.cn/music/photo_new/T002R500x500M000003Q3flT1zkBX3_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,137,535357816,Rock All Night,袁一琦,003AjrRg4fPZTt,False,0,0,0,82.19743,50.45,0.0,0.0,31.66,53.25,https://y.gtimg.cn/music/photo_new/T002R500x500M000003qltM2469LMm_2.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,138,480650223,昨晚我环游了地球,汪苏泷,003RhiFk16EeF7,False,130,0,0,82.11518,66.29,0.0,0.0,4.8,47.9,https://y.gtimg.cn/music/photo_new/T002R500x500M000000A1M903iHvyT_4.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,139,513759558,浮生若梦,周深,002ElBqW0fEWXI,False,129,0,0,82.09688,64.86,0.0,0.0,18.1,48.27,https://y.qq.com/music/photo_new/T062R500x500M000003O2ogG11M5da.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,140,512975549,洛阳纸,许嵩,000iOs7F4gQ4VR,False,132,0,0,81.99842,70.6,0.0,0.0,5.23,40.34,https://y.gtimg.cn/music/photo_new/T002R500x500M000001Oqn952HAPRk_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,141,535078423,kick,何浩楠,003x6WZl0ch3MM,False,0,0,0,81.95054,61.82,0.0,0.0,9.59,51.24,https://y.gtimg.cn/music/photo_new/T002R500x500M000003tARiO3v9OTh_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,142,531111308,想得美,TOP登陆少年组合,003QLx9h4Y71iu,False,107,0,0,81.88328,68.78,0.0,0.0,14.69,42.76,https://y.gtimg.cn/music/photo_new/T002R500x500M000002YPc1C0WN5qn_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,143,511809673,人间,刘宇宁,002dyLPw3kRsuA,False,128,0,0,81.71949,66.87,0.0,0.0,11.97,44.85,https://y.qq.com/music/photo_new/T062R500x500M000001Plf3T3zraRt.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,144,503612889,渡,周深,004XNL6L36CrFC,False,126,0,0,81.64577,64.19,0.0,0.0,5.75,48.65,https://y.gtimg.cn/music/photo_new/T002R500x500M000000QqmQq1hKTuB_1.jpg
202629,第29期（07.20-07.26）,2026-07-20,2026-07-26,145,486301870,Someone to Love,严浩翔,003h49Zi3ExoLi,False,30,0,0,81.34236,61.0,0.0,0.0,25.93,48.82,https://y.gtimg.cn/music/photo_new/T002R500x500M000002MLnIj1xJXLf_1.jpg
